ID;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Z_CostContact;Z_Revenue;Response;Age;DaysCustomer;TotalChild;Monetary;MntPurchase;MntAccepted;clusters
5524;1957;1;0;58138.0;0;0;2012-09-04;58;635;88;546;172;88;88;3;8.0;10.0;4.0;7;0;0;0;0;0;0;3;11;1;57;760;0;1617.0;21.0;0;1
2174;1954;1;0;46344.0;1;1;2014-03-08;38;11;1;6;2;1;6;2;1.0;1.0;2.0;5;0;0;0;0;0;0;3;11;0;60;210;2;27.0;8.0;0;0
4141;1965;1;1;71613.0;0;0;2013-08-21;26;426;49;127;111;21;42;1;8.0;2.0;10.0;4;0;0;0;0;0;0;3;11;0;49;409;0;776.0;16.0;0;1
6182;1984;1;1;26646.0;1;0;2014-02-10;26;11;4;20;10;3;5;2;2.0;0.0;4.0;6;0;0;0;0;0;0;3;11;0;30;236;1;53.0;10.0;0;0
5324;1981;4;1;58293.0;1;0;2014-01-19;94;173;43;118;46;27;15;5;5.0;3.0;6.0;5;0;0;0;0;0;0;3;11;0;33;258;1;422.0;14.0;0;2
7446;1967;3;1;62513.0;0;1;2013-09-09;16;520;42;98;0;42;14;2;6.0;4.0;10.0;6;0;0;0;0;0;0;3;11;0;47;390;1;716.0;20.0;0;2
965;1971;1;0;55635.0;0;1;2012-11-13;34;235;65;164;50;49;27;4;7.0;3.0;7.0;6;0;0;0;0;0;0;3;11;0;43;690;1;590.0;16.0;0;2
6177;1985;4;1;33454.0;1;0;2013-05-08;32;76;10;56;3;1;23;2;4.0;0.0;4.0;8;0;0;0;0;0;0;3;11;0;29;514;1;169.0;12.0;0;0
4855;1974;4;1;30351.0;1;0;2013-06-06;19;14;0;24;3;3;2;1;3.0;0.0;2.0;9;0;0;0;0;0;0;3;11;1;40;485;1;46.0;11.0;0;0
5899;1950;4;1;5648.0;1;1;2014-03-13;68;28;0;6;1;1;13;1;1.0;0.0;0.0;20;1;0;0;0;0;0;3;11;0;64;205;2;49.0;20.0;1;0
1994;1983;1;1;51301.0;1;0;2013-11-15;11;5;5;6;0;2;1;1;1.0;0.0;2.0;7;0;0;0;0;0;0;3;11;0;31;323;1;19.0;9.0;0;0
387;1976;0;1;7500.0;0;0;2012-11-13;59;6;16;11;11;1;16;1;2.0;0.0;3.0;8;0;0;0;0;0;0;3;11;0;38;690;0;61.0;11.0;0;0
2125;1959;1;0;63033.0;0;0;2013-11-15;82;194;61;480;225;112;30;1;3.0;4.0;8.0;2;0;0;0;0;0;0;3;11;0;55;323;0;1102.0;14.0;0;1
8180;1952;3;0;59354.0;1;1;2013-11-15;53;233;2;53;3;5;14;3;6.0;1.0;5.0;6;0;0;0;0;0;0;3;11;0;62;323;2;310.0;12.0;0;2
2569;1987;1;1;17323.0;0;0;2012-10-10;38;3;14;17;6;1;5;1;1.0;0.0;3.0;8;0;0;0;0;0;0;3;11;0;27;724;0;46.0;11.0;0;0
2114;1946;4;0;82800.0;0;0;2012-11-24;23;1006;22;115;59;68;45;1;7.0;6.0;12.0;3;0;0;1;1;0;0;3;11;1;68;679;0;1315.0;21.0;2;1
9736;1980;1;1;41850.0;1;1;2012-12-24;51;53;5;19;2;13;4;3;3.0;0.0;3.0;8;0;0;0;0;0;0;3;11;0;34;649;2;96.0;11.0;0;0
4939;1946;1;1;37760.0;0;0;2012-08-31;20;84;5;38;150;12;28;2;4.0;1.0;6.0;7;0;0;0;0;0;0;3;11;0;68;764;0;317.0;14.0;0;0
6565;1949;3;1;76995.0;0;1;2013-03-28;91;1012;80;498;0;16;176;2;11.0;4.0;9.0;5;0;0;0;1;0;0;3;11;0;65;555;1;1782.0;18.0;1;1
2278;1985;2;0;33812.0;1;0;2012-11-03;86;4;17;19;30;24;39;2;2.0;1.0;3.0;6;0;0;0;0;0;0;3;11;0;29;700;1;133.0;10.0;0;0
9360;1982;1;1;37040.0;0;0;2012-08-08;41;86;2;73;69;38;48;1;4.0;2.0;5.0;8;0;0;0;0;0;0;3;11;0;32;787;0;316.0;15.0;0;0
5376;1979;1;1;2447.0;1;0;2013-01-06;42;1;1;1725;1;1;1;15;0.0;2.0;0.0;1;0;0;0;0;0;0;3;11;0;35;636;1;1730.0;13.0;0;2
1993;1949;4;1;58607.0;0;1;2012-12-23;63;867;0;86;0;0;19;3;2.0;3.0;9.0;8;0;1;0;0;0;0;3;11;0;65;650;1;972.0;20.0;1;2
4047;1954;4;1;65324.0;0;1;2014-01-11;0;384;0;102;21;32;5;3;6.0;2.0;9.0;4;0;0;0;0;0;0;3;11;0;60;266;1;544.0;15.0;0;2
1409;1951;1;1;40689.0;0;1;2013-03-18;69;270;3;27;39;6;99;7;7.0;1.0;5.0;8;0;0;0;0;0;0;3;11;0;63;565;1;444.0;14.0;0;2
7892;1969;1;0;18589.0;0;0;2013-01-02;89;6;4;25;15;12;13;2;2.0;1.0;3.0;7;0;0;0;0;0;0;3;11;0;45;640;0;75.0;11.0;0;0
2404;1976;1;1;53359.0;1;1;2013-05-27;4;173;4;30;3;6;41;4;5.0;1.0;4.0;7;0;0;0;0;0;0;3;11;0;38;495;2;257.0;12.0;0;2
5255;1986;1;0;51301.0;1;0;2013-02-20;19;5;1;3;3;263;362;0;4.0;0.0;0.0;1;0;0;0;0;0;0;3;11;0;28;591;1;637.0;1.0;0;0
9422;1989;1;1;38360.0;1;0;2013-05-31;26;36;2;42;20;21;10;2;2.0;1.0;4.0;3;0;0;0;0;0;0;3;11;0;25;491;1;131.0;8.0;0;0
1966;1965;4;1;84618.0;0;0;2013-11-22;96;684;100;801;21;66;0;1;6.0;9.0;10.0;2;0;0;1;0;0;0;3;11;0;49;316;0;1672.0;21.0;1;1
6864;1989;3;0;10979.0;0;0;2014-05-22;34;8;4;10;2;2;4;2;3.0;0.0;3.0;5;0;0;0;0;0;0;3;11;0;25;135;0;30.0;8.0;0;0
3033;1963;3;1;38620.0;0;0;2013-05-11;56;112;17;44;34;22;89;1;2.0;5.0;3.0;3;0;0;0;0;0;0;3;11;0;51;511;0;318.0;11.0;0;0
5710;1970;1;1;40548.0;0;1;2012-10-10;31;110;0;5;2;0;3;2;2.0;1.0;4.0;5;0;1;0;0;0;0;3;11;0;44;724;1;120.0;10.0;1;0
7373;1952;4;0;46610.0;0;2;2012-10-29;8;96;12;96;33;22;43;6;4.0;1.0;6.0;6;0;0;0;0;0;0;3;11;1;62;705;2;302.0;13.0;0;2
8755;1946;3;1;68657.0;0;0;2013-02-20;4;482;34;471;119;68;22;1;3.0;5.0;9.0;7;0;0;0;0;0;0;3;11;0;68;591;0;1196.0;21.0;0;1
10738;1951;3;0;49389.0;1;1;2013-08-29;55;40;0;19;2;1;3;1;2.0;0.0;3.0;7;0;0;0;0;0;0;3;11;0;63;401;2;65.0;10.0;0;0
4339;1970;4;1;67353.0;0;1;2013-12-31;37;702;17;151;0;8;35;5;5.0;6.0;12.0;2;0;0;0;0;0;0;3;11;0;44;277;1;913.0;20.0;0;2
